City,Hotel Name,Address,Price Text,Price Numeric,Rating & Reviews,Review Count,Hotel URL
Mumbai,Treebo Amber Imperial,"Central, Mumbai (Central)","₹ 15,938",15938,Scored 6.1 6.1 Review score 106 reviews,6161106.0,https://www.booking.comhttps://www.booking.com/hotel/in/oyo-flagship-88512-amber-imperial.en-gb.html
Mumbai,Gulf Hotel Mumbai- The Boutique Hotel Colaba Mumbai,"Colaba, Mumbai (Mumbai Historical And Heritage)","₹ 23,895",23895,Scored 5.8 5.8 Review score 394 reviews,5858394.0,https://www.booking.comhttps://www.booking.com/hotel/in/gulf-the-boutique.en-gb.html
Mumbai,Ramee Techome,"Khar, Mumbai (Western Suburbs)","₹ 46,063",46063,Scored 7.7 7.7 Good 347 reviews,7777347.0,https://www.booking.comhttps://www.booking.com/hotel/in/ramee-techome.en-gb.html
Mumbai,HOTEL AMBER PARAMOUNT,"Western Suburbs, Mumbai (Andheri)","₹ 22,950",22950,Scored 7.4 7.4 Good 362 reviews,7474362.0,https://www.booking.comhttps://www.booking.com/hotel/in/amber-paramount.en-gb.html
Mumbai,Hotel Bawa Continental,"Juhu, Mumbai (Western Suburbs)","₹ 31,896",31896,Scored 7.8 7.8 Good 721 reviews,7878721.0,https://www.booking.comhttps://www.booking.com/hotel/in/bawa-continental.en-gb.html
Mumbai,Hotel Linkway,"Khar, Mumbai (Western Suburbs)","₹ 13,200",13200,Scored 8.5 8.5 Very good 637 reviews,8585637.0,https://www.booking.comhttps://www.booking.com/hotel/in/linkway.en-gb.html
Mumbai,Taj Lands End,"Bandra, Mumbai (Western Suburbs)","₹ 120,204",120204,"Scored 8.2 8.2 Very good 2,769 reviews",82822769.0,https://www.booking.comhttps://www.booking.com/hotel/in/taj-lands-end.en-gb.html
Mumbai,Hotel Airport International Mumbai,"Western Suburbs, Mumbai (Western Suburbs)","₹ 29,000",29000,Scored 7.2 7.2 Good 522 reviews,7272522.0,https://www.booking.comhttps://www.booking.com/hotel/in/airport-international.en-gb.html
Mumbai,Hotel Enigma Inn,"South Mumbai, Mumbai (Mumbai Historical And Heritage)","₹ 16,079",16079,Scored 7.4 7.4 Good 334 reviews,7474334.0,https://www.booking.comhttps://www.booking.com/hotel/in/enigma-inn.en-gb.html
Mumbai,La Hotel Metro near BKC,"Bandra Kurla Complex, Mumbai (Bandra Kurla Complex)","₹ 26,600",26600,Scored 7.2 7.2 Good 250 reviews,7272250.0,https://www.booking.comhttps://www.booking.com/hotel/in/la-metro.en-gb.html
Mumbai,Esquire Hotel Near BKC Mumbai,"Bandra Kurla Complex, Mumbai (Bandra Kurla Complex)","₹ 20,800",20800,Scored 6.2 6.2 Review score 131 reviews,6262131.0,https://www.booking.comhttps://www.booking.com/hotel/in/esquire-near-bkc-mumbai.en-gb.html
Mumbai,Ramee Guestline Hotel Dadar,"Dadar, Mumbai (Central)","₹ 33,108",33108,Scored 7.7 7.7 Good 184 reviews,7777184.0,https://www.booking.comhttps://www.booking.com/hotel/in/ramee-guestline-dadar-mumbai.en-gb.html
Mumbai,Arnna-Goregaon,"Western Suburbs, Mumbai (Western Suburbs)","₹ 32,494",32494,Scored 7.5 7.5 Good 732 reviews,7575732.0,https://www.booking.comhttps://www.booking.com/hotel/in/arnna.en-gb.html
Mumbai,Hotel Kailash Park Near International Airport T2 Mumbai,"Western Suburbs, Mumbai (Andheri)","₹ 7,660",7660,Scored 8.4 8.4 Very good 9 reviews,84849.0,https://www.booking.comhttps://www.booking.com/hotel/in/kailash-park-mumbai.en-gb.html
Mumbai,OSI Apartments Powai,"Powai, Mumbai (Western Suburbs)","₹ 19,200",19200,Scored 7.8 7.8 Good 94 reviews,787894.0,https://www.booking.comhttps://www.booking.com/hotel/in/osi-apartments-powai.en-gb.html
Mumbai,The Resort,"Western Suburbs, Mumbai (Western Suburbs)","₹ 28,796",28796,Scored 8.2 8.2 Very good 802 reviews,8282802.0,https://www.booking.comhttps://www.booking.com/hotel/in/the-resort.en-gb.html
Mumbai,The Westin Mumbai Garden City,"Western Suburbs, Mumbai (Western Suburbs)","₹ 117,800",117800,Scored 8.8 8.8 Fabulous 808 reviews,8888808.0,https://www.booking.comhttps://www.booking.com/hotel/in/the-westin-mumbai-garden-city.en-gb.html
Mumbai,Sea Palace Hotel - near Gateway of India,"Colaba, Mumbai (Mumbai Historical And Heritage)","₹ 30,000",30000,Scored 6.7 6.7 Review score 142 reviews,6767142.0,https://www.booking.comhttps://www.booking.com/hotel/in/sea-palace.en-gb.html
Mumbai,Sage Studio Bandra W by The Bombay Home Company,"Western Suburbs, Mumbai (Western Suburbs)","₹ 16,391",16391,Scored 7.2 7.2 Good 5 reviews,72725.0,https://www.booking.comhttps://www.booking.com/hotel/in/mira-studio-bandra-w-by-the-bombay-home-company.en-gb.html
Mumbai,"ITC Grand Central, a Luxury Collection Hotel, Mumbai","Central, Mumbai (Central)","₹ 102,350",102350,"Scored 8.9 8.9 Fabulous 1,226 reviews",89891226.0,https://www.booking.comhttps://www.booking.com/hotel/in/itc-grand-central-mumbai.en-gb.html
Mumbai,FabHotel Silver Lake,"Western Suburbs, Mumbai (Andheri)","₹ 10,488",10488,Scored 6.8 6.8 Review score 426 reviews,6868426.0,https://www.booking.comhttps://www.booking.com/hotel/in/fabhotel-silver-lake-kurla.en-gb.html
Mumbai,"The Caliph Hotel, Mumbai Near Powai Lake","Powai, Mumbai","₹ 26,000",26000,Scored 6.5 6.5 Review score 190 reviews,6565190.0,https://www.booking.comhttps://www.booking.com/hotel/in/metro-residency.en-gb.html
Mumbai,Lake Side Serviced Apartment by Maxxvalue,"Powai, Mumbai (Central Suburbs)","₹ 26,000",26000,Scored 8.5 8.5 Very good 20 reviews,858520.0,https://www.booking.comhttps://www.booking.com/hotel/in/maxxvalue-apartment-powai-mumbai.en-gb.html
Mumbai,Hotel Marine Plaza,"Churchgate, Mumbai (Mumbai Historical And Heritage)","₹ 98,597",98597,Scored 8.2 8.2 Very good 723 reviews,8282723.0,https://www.booking.comhttps://www.booking.com/hotel/in/marine-plaza.en-gb.html
Mumbai,"Home2 Suites and Service Apartments, Mumbai Airport","Santacruz, Mumbai (Western Suburbs)","₹ 34,000",34000,Scored 8.2 8.2 Very good 746 reviews,8282746.0,https://www.booking.comhttps://www.booking.com/hotel/in/arma-suites-and-apartment.en-gb.html
Mumbai,FabHotel Liwa International - Nr Mumbai International Airport,"Western Suburbs, Mumbai (Andheri)","₹ 14,321",14321,Scored 6.9 6.9 Review score 433 reviews,6969433.0,https://www.booking.comhttps://www.booking.com/hotel/in/fabexpress-sher-e-punjab.en-gb.html
Mumbai,Ramada Plaza By Wyndham Palm Grove,"Juhu, Mumbai (Western Suburbs)","₹ 72,435",72435,Scored 7.5 7.5 Good 771 reviews,7575771.0,https://www.booking.comhttps://www.booking.com/hotel/in/ramada-plaza-palm-grove.en-gb.html
Mumbai,FabHotel Orange Suites - Nr Mumbai International Airport,"Santacruz, Mumbai (Western Suburbs)","₹ 10,010",10010,Scored 6.1 6.1 Review score 346 reviews,6161346.0,https://www.booking.comhttps://www.booking.com/hotel/in/fabhotel-suites-residency.en-gb.html
Mumbai,Backpacker Cowies,"Colaba, Mumbai (Mumbai Historical And Heritage)","₹ 24,760",24760,"Scored 8.0 8.0 Very good 1,450 reviews",80801450.0,https://www.booking.comhttps://www.booking.com/hotel/in/backpacker-panda-colaba.en-gb.html
Mumbai,UrbanNest Service Apartments Powai,"Powai, Mumbai (Central Suburbs)","₹ 16,630",16630,Scored 8.5 8.5 Very good 22 reviews,858522.0,https://www.booking.comhttps://www.booking.com/hotel/in/urbannest-service-apartments-powai.en-gb.html
Mumbai,Hilton Mumbai International Airport Hotel,"Western Suburbs, Mumbai (Andheri)","₹ 86,940",86940,"Scored 8.7 8.7 Fabulous 2,415 reviews",87872415.0,https://www.booking.comhttps://www.booking.com/hotel/in/hilton-mumbai-international-airport.en-gb.html
Mumbai,Ginger Mumbai Andheri (MIDC),"Western Suburbs, Mumbai (Andheri)","₹ 27,496",27496,Scored 7.2 7.2 Good 634 reviews,7272634.0,https://www.booking.comhttps://www.booking.com/hotel/in/ginger-mumbai-andheri.en-gb.html
Mumbai,Ginger Mumbai Airport,"Western Suburbs, Mumbai (Western Suburbs)","₹ 42,496",42496,"Scored 7.3 7.3 Good 1,689 reviews",73731689.0,https://www.booking.comhttps://www.booking.com/hotel/in/ginger-mumbai-airport.en-gb.html
Mumbai,"Ginger Mumbai, Andheri","Western Suburbs, Mumbai (Andheri)","₹ 30,496",30496,Scored 6.5 6.5 Review score 974 reviews,6565974.0,https://www.booking.comhttps://www.booking.com/hotel/in/ginger-mumbai-andheri-mumbai.en-gb.html
Mumbai,"Zenith Homes - Premium Suites, near IIT Powai, Hiranandani & Mumbai Airport","Powai, Mumbai (Central Suburbs)","₹ 17,666",17666,Scored 8.0 8.0 Very good 21 reviews,808021.0,https://www.booking.comhttps://www.booking.com/hotel/in/zenith-homes-premium-suites.en-gb.html
Mumbai,Theory9 Premium Service Apartments Khar,"Khar, Mumbai (Western Suburbs)","₹ 34,607",34607,Scored 8.4 8.4 Very good 151 reviews,8484151.0,https://www.booking.comhttps://www.booking.com/hotel/in/samyakth-bliss-by-casa-royale.en-gb.html
Mumbai,Hotel Ariana Residency,"Western Suburbs, Mumbai (Andheri)","₹ 23,285",23285,Scored 7.3 7.3 Good 541 reviews,7373541.0,https://www.booking.comhttps://www.booking.com/hotel/in/ariana-residency.en-gb.html
Mumbai,The Orchid Hotel Mumbai Vile Parle,"Western Suburbs, Mumbai (Western Suburbs)","₹ 46,300",46300,"Scored 7.5 7.5 Good 1,200 reviews",75751200.0,https://www.booking.comhttps://www.booking.com/hotel/in/the-orchid-mumbai.en-gb.html
Mumbai,Theory9 Premium Service Apartments Bandra,"Bandra, Mumbai (Western Suburbs)","₹ 37,459",37459,Scored 8.4 8.4 Very good 440 reviews,8484440.0,https://www.booking.comhttps://www.booking.com/hotel/in/theory9-premium-service-apts-bandra-west.en-gb.html
Mumbai,Novotel Mumbai Juhu Beach,"Juhu, Mumbai (Western Suburbs)","₹ 71,509",71509,"Scored 6.3 6.3 Review score 1,878 reviews",63631878.0,https://www.booking.comhttps://www.booking.com/hotel/in/novotel-mumbai-juhu-beach.en-gb.html
Mumbai,Hotel Heritage formerly known as Comfort Inn Heritage,"Central, Mumbai (Central)","₹ 33,900",33900,Scored 7.5 7.5 Good 452 reviews,7575452.0,https://www.booking.comhttps://www.booking.com/hotel/in/comfort-inn-heritage.en-gb.html
Mumbai,"Lemon Tree Hotel, Kalina BKC, Mumbai","Bandra Kurla Complex, Mumbai (Bandra Kurla Complex)","₹ 31,436",31436,Scored 5.6 5.6 Review score 195 reviews,5656195.0,https://www.booking.comhttps://www.booking.com/hotel/in/lemon-tree-kalina-mumbai.en-gb.html
Mumbai,Hotel Godwin - Colaba,"Colaba, Mumbai (Mumbai Historical And Heritage)","₹ 33,700",33700,Scored 6.8 6.8 Review score 339 reviews,6868339.0,https://www.booking.comhttps://www.booking.com/hotel/in/godwin-mumbai.en-gb.html
Mumbai,Grand Hyatt Mumbai Hotel and Residences,"Santacruz, Mumbai (Western Suburbs)","₹ 72,675",72675,"Scored 8.4 8.4 Very good 1,601 reviews",84841601.0,https://www.booking.comhttps://www.booking.com/hotel/in/grand-hyatt.en-gb.html
Mumbai,Hotel Supreme Comforts - Mumbai Airport,"Western Suburbs, Mumbai (Andheri)","₹ 22,500",22500,Scored 7.6 7.6 Good 316 reviews,7676316.0,https://www.booking.comhttps://www.booking.com/hotel/in/supreme-comforts.en-gb.html
Mumbai,"Aurika, Mumbai International Airport - Luxury by Lemon Tree Hotels","Western Suburbs, Mumbai (Andheri)","₹ 45,040",45040,"Scored 8.5 8.5 Very good 1,398 reviews",85851398.0,https://www.booking.comhttps://www.booking.com/hotel/in/aurika-mumbai-skycity.en-gb.html
Mumbai,ibis Mumbai Airport - An Accor Brand,"Western Suburbs, Mumbai (Western Suburbs)","₹ 37,000",37000,"Scored 6.4 6.4 Review score 1,257 reviews",64641257.0,https://www.booking.comhttps://www.booking.com/hotel/in/ibis-mumbai.en-gb.html
Mumbai,"The Ambassador, Marine Drive, Mumbai","Churchgate, Mumbai (Mumbai Historical And Heritage)","₹ 80,200",80200,Scored 8.1 8.1 Very good 448 reviews,8181448.0,https://www.booking.comhttps://www.booking.com/hotel/in/the-ambassador.en-gb.html
Mumbai,Rudraya Homes - Cozy Premium Serviced Apartments Khar - next to Bandra,"Western Suburbs, Mumbai (Western Suburbs)","₹ 30,800",30800,Scored 9.0 9.0 Superb 21 reviews,909021.0,https://www.booking.comhttps://www.booking.com/hotel/in/rudraya-homes.en-gb.html
Mumbai,Indie Stays Mumbai International Airport,"Western Suburbs, Mumbai (Andheri)","₹ 30,996",30996,Scored 7.5 7.5 Good 147 reviews,7575147.0,https://www.booking.comhttps://www.booking.com/hotel/in/indie-stays-international-airport-marol.en-gb.html
Mumbai,"Grand Hotel Mumbai - Ballard Estate, Fort","South Mumbai, Mumbai (Mumbai Historical And Heritage)","₹ 43,200",43200,Scored 7.5 7.5 Good 510 reviews,7575510.0,https://www.booking.comhttps://www.booking.com/hotel/in/grand-mumbai.en-gb.html
Mumbai,"HOTEL ASHRAY INTERNATIONAL, SION - Near BKC","Bandra Kurla Complex, Mumbai (Bandra Kurla Complex)","₹ 22,240",22240,Scored 8.2 8.2 Very good 74 reviews,828274.0,https://www.booking.comhttps://www.booking.com/hotel/in/ashray-international.en-gb.html
Mumbai,Fairmont Mumbai,"Western Suburbs, Mumbai (Andheri)","₹ 76,500",76500,Scored 9.0 9.0 Superb 387 reviews,9090387.0,https://www.booking.comhttps://www.booking.com/hotel/in/fairmont-mumbai.en-gb.html
Mumbai,Hilton Garden Inn Mumbai International Airport,"Western Suburbs, Mumbai (Andheri)","₹ 60,796",60796,Scored 8.3 8.3 Very good 293 reviews,8383293.0,https://www.booking.comhttps://www.booking.com/hotel/in/hilton-garden-inn-mumbai-international-airport.en-gb.html
Mumbai,Hotel Kemps Corner,"Kemps Corner, Mumbai (Malabar Hill)","₹ 33,388",33388,Scored 8.0 8.0 Very good 451 reviews,8080451.0,https://www.booking.comhttps://www.booking.com/hotel/in/kemps-corner.en-gb.html
Mumbai,Bloom Hub l WEH Andheri,"Western Suburbs, Mumbai (Andheri)","₹ 48,509",48509,Scored 8.4 8.4 Very good 141 reviews,8484141.0,https://www.booking.comhttps://www.booking.com/hotel/in/bloom-hub-weh-andheri.en-gb.html
Mumbai,Hotel Bawa Regency,"Dadar, Mumbai (Central)","₹ 26,796",26796,Scored 7.7 7.7 Good 380 reviews,7777380.0,https://www.booking.comhttps://www.booking.com/hotel/in/bawa-regency.en-gb.html
Mumbai,Hotel Oriental Aster - Mumbai International Airport,"Western Suburbs, Mumbai (Andheri)","₹ 25,996",25996,Scored 8.0 8.0 Very good 681 reviews,8080681.0,https://www.booking.comhttps://www.booking.com/hotel/in/suresha.en-gb.html
Mumbai,The Falcon Inn,"South Mumbai, Mumbai","₹ 21,596",21596,Scored 7.4 7.4 Good 164 reviews,7474164.0,https://www.booking.comhttps://www.booking.com/hotel/in/the-falcon-inn.en-gb.html
Mumbai,The Sahil Hotel,"South Mumbai, Mumbai","₹ 44,000",44000,Scored 8.0 8.0 Very good 536 reviews,8080536.0,https://www.booking.comhttps://www.booking.com/hotel/in/sahil.en-gb.html
Mumbai,"The Royal Orchid Hotel, Chembur","Central Suburbs, Mumbai (Central Suburbs)","₹ 29,800",29800,Scored 7.8 7.8 Good 621 reviews,7878621.0,https://www.booking.comhttps://www.booking.com/hotel/in/the-royal-orchid.en-gb.html
Mumbai,The Majlis Hotel - Colaba Mumbai,"Colaba, Mumbai (Mumbai Historical And Heritage)","₹ 14,250",14250,Scored 6.1 6.1 Review score 152 reviews,6161152.0,https://www.booking.comhttps://www.booking.com/hotel/in/the-majlis-near-taj-colaba-mumbai.en-gb.html
Mumbai,Residency Sarovar Portico,"Western Suburbs, Mumbai (Western Suburbs)","₹ 44,365",44365,Scored 7.5 7.5 Good 408 reviews,7575408.0,https://www.booking.comhttps://www.booking.com/hotel/in/residency-sarovar-portico.en-gb.html
Mumbai,FabHotel Aksa International,"Western Suburbs, Mumbai (Andheri)","₹ 9,478",9478,Scored 4.8 4.8 Review score 512 reviews,4848512.0,https://www.booking.comhttps://www.booking.com/hotel/in/aksa-international.en-gb.html
Mumbai,hotel Sunrise Residency,"Andheri, Mumbai (Andheri)","₹ 12,797",12797,Scored 7.5 7.5 Good 33 reviews,757533.0,https://www.booking.comhttps://www.booking.com/hotel/in/sunrise-residency-mumbai3.en-gb.html
Mumbai,Hotel Zara International,"Western Suburbs, Mumbai (Andheri)","₹ 11,220",11220,Scored 7.0 7.0 Good 229 reviews,7070229.0,https://www.booking.comhttps://www.booking.com/hotel/in/zara-international.en-gb.html
Mumbai,Trident Nariman Point,"Nariman Point, Mumbai (Nariman Point)","₹ 123,000",123000,"Scored 9.0 9.0 Superb 4,411 reviews",90904411.0,https://www.booking.comhttps://www.booking.com/hotel/in/trident-nariman-point.en-gb.html
Mumbai,Ramee Guestline Hotel Juhu,"Juhu, Mumbai (Western Suburbs)","₹ 32,799",32799,Scored 6.6 6.6 Review score 195 reviews,6666195.0,https://www.booking.comhttps://www.booking.com/hotel/in/ramee-guestline-juhu-mumbai.en-gb.html
Mumbai,Hotel Victoria City Mumbai,"Central, Mumbai (Central)","₹ 11,661",11661,Scored 5.8 5.8 Review score 199 reviews,5858199.0,https://www.booking.comhttps://www.booking.com/hotel/in/pink-city-mumbai.en-gb.html
Mumbai,ibis Mumbai Vikhroli - An Accor Brand,"Central Suburbs, Mumbai (Central Suburbs)","₹ 36,800",36800,Scored 7.7 7.7 Good 628 reviews,7777628.0,https://www.booking.comhttps://www.booking.com/hotel/in/ibis-mumbai-vikhroli.en-gb.html
Mumbai,Hotel Bawa International,"Western Suburbs, Mumbai (Western Suburbs)","₹ 26,190",26190,Scored 7.5 7.5 Good 759 reviews,7575759.0,https://www.booking.comhttps://www.booking.com/hotel/in/bawa-international.en-gb.html
Mumbai,MyOtel - Santacruz,"Santacruz, Mumbai (Western Suburbs)","₹ 27,550",27550,Scored 7.2 7.2 Good 154 reviews,7272154.0,https://www.booking.comhttps://www.booking.com/hotel/in/myotel-santacruz.en-gb.html
Mumbai,T24 Residency Mumbai International Airport Hotel,"Western Suburbs, Mumbai (Andheri)","₹ 29,997",29997,Scored 7.3 7.3 Good 381 reviews,7373381.0,https://www.booking.comhttps://www.booking.com/hotel/in/t24.en-gb.html
Mumbai,Hotel Rinza Residency,"South Mumbai, Mumbai (Grant Road)","₹ 12,957",12957,Scored 6.6 6.6 Review score 127 reviews,6666127.0,https://www.booking.comhttps://www.booking.com/hotel/in/rinza-residency.en-gb.html
Mumbai,Hotel Suba Galaxy Mumbai,"Western Suburbs, Mumbai (Andheri)","₹ 38,193",38193,Scored 7.7 7.7 Good 724 reviews,7777724.0,https://www.booking.comhttps://www.booking.com/hotel/in/suba-galaxy.en-gb.html
Mumbai,Zenith Suites & Service Apartments - Powai,"Powai, Mumbai (Western Suburbs)","₹ 14,270",14270,Scored 8.8 8.8 Fabulous 16 reviews,888816.0,https://www.booking.comhttps://www.booking.com/hotel/in/zenith-suites-amp-service-apartments-powai.en-gb.html
Mumbai,Treebo Amber Imperial,"Central, Mumbai (Central)","₹ 15,938",15938,Scored 6.1 6.1 Review score 106 reviews,6161106.0,https://www.booking.comhttps://www.booking.com/hotel/in/oyo-flagship-88512-amber-imperial.en-gb.html
Mumbai,Gulf Hotel Mumbai- The Boutique Hotel Colaba Mumbai,"Colaba, Mumbai (Mumbai Historical And Heritage)","₹ 23,895",23895,Scored 5.8 5.8 Review score 394 reviews,5858394.0,https://www.booking.comhttps://www.booking.com/hotel/in/gulf-the-boutique.en-gb.html
Mumbai,Ramee Techome,"Khar, Mumbai (Western Suburbs)","₹ 46,063",46063,Scored 7.7 7.7 Good 347 reviews,7777347.0,https://www.booking.comhttps://www.booking.com/hotel/in/ramee-techome.en-gb.html
Mumbai,Hotel Bawa Continental,"Juhu, Mumbai (Western Suburbs)","₹ 31,896",31896,Scored 7.8 7.8 Good 721 reviews,7878721.0,https://www.booking.comhttps://www.booking.com/hotel/in/bawa-continental.en-gb.html
Mumbai,Hotel Linkway,"Khar, Mumbai (Western Suburbs)","₹ 13,200",13200,Scored 8.5 8.5 Very good 637 reviews,8585637.0,https://www.booking.comhttps://www.booking.com/hotel/in/linkway.en-gb.html
Mumbai,Taj Lands End,"Bandra, Mumbai (Western Suburbs)","₹ 120,204",120204,"Scored 8.2 8.2 Very good 2,769 reviews",82822769.0,https://www.booking.comhttps://www.booking.com/hotel/in/taj-lands-end.en-gb.html
